"","dept1","dept2","dept3"
"1",6.15574957709759,4.41508907265961,4.75468173250556
"2",5.32298574503511,5.10462416242808,4.70494969468564
"3",3.0858136350289,5.99259582161903,4.44675487373024
"4",4.51260646339506,3.99462289642543,5.85310670826584
"5",6.83190560247749,4.54127342440188,3.11352166626602
"6",3.10331804119051,3.05246914830059,5.95083291549236
"7",5.70877773594111,4.66267004795372,6.30022470001131
"8",5.69784546550363,5.64698894880712,6.026512038894
"9",3.6632808316499,2.78279021847993,6.05677715409547
"10",3.01365991868079,5.79913694690913,4.13613109569997
"11",4.06477112788707,2.84324153047055,6.11024576053023
"12",3.60395054146647,3.1750031914562,6.57282463647425
"13",3.07249583303928,3.83790802955627,6.71414868813008
"14",5.37805590964854,3.63653199654073,4.48342799115926
"15",4.74356684554368,3.05831501353532,4.68489979207516
"16",6.76522371917963,2.65093353111297,3.73696279339492
"17",3.24057898391038,4.15690539311618,5.34144859947264
"18",3.62248380109668,5.21823536138982,5.85519119910896
"19",3.14254743885249,3.08918669633567,4.93040018714964
"20",3.94711100868881,4.98175480123609,4.17070496827364
